content,question,answer
"in  Rural  Jun 30,  USDA Rural Development’s Single Family Housing Guaranteed Loan Program has options for lenders to help homebuyers finance homes across rural America. This includes manufactured homes, which can help boost the housing supply in rural America and bring homeownership within reach for millions of people. Through the Combination Construction-to-Permanent Loan Program (, 158 ), USDA and its lending partners are making sure the dreams for millions to achieve homeownership come true by requiring no money down. Under this program, USDA guarantees 100% of the appraised value of the home and land. The program also helps lenders finance land costs, closing costs, site development, installation and setup costs for the home. It also allows lenders to obtain the loan note guarantee up front, creating more flexibility for both the lender and borrower. For example, USDA’s lending partner Metroplex Mortgage Services Inc. is working with the agency to ensure people in rural Florida, Texas, Tennessee and Alabama have a place to call home. Metroplex Mortgage Services Inc. President Sean Stephens said the company recently helped a single mother buy a new manufactured home with the Combination Construction-to-Permanent Loan Program. She was able to qualify due to the no-money-down requirement and the flexibility of the program. Guild Mortgage, based in San Diego, California, is financing four manufactured homes through the Single-Family Housing Guarantee Loan Program to help people in the Paradise community hit by wildfires access affordable housing as soon as possible. The homes are a construction type known as CrossMod. These types of homes blend the features of site-built homes with the innovative and efficient methods of factory construction and result in a product that appears as a conventional stick-built home. Checklist for Lenders If you’re a lender who is interested in financing new manufactured home construction through USDA’s Combination Construction-to-Permanent Loan Program, here are some tips to keep in mind. In order to receive USDA Rural Development financing, the unit must be new and:  Transported directly from the manufacturer to the site where it will be financed.  Have a floor area of no less than 400 square feet.  Installed on a permanent foundation built according to FHA .  Meet the Federal Manufactured Home Construction and Safety Standard.  Certified by its builder that thermal requirements have been met. For more information, visit Single Family Housing Guaranteed Loan Program | Rural Development (usda.gov).  Category/Topic:  Rural  Tags:  Rural Development  Single Family Housing Guaranteed Loan program  homeownership  You May Also Like  USDA Thinks Outside the Box at Inaugural Innovation Event  Diversifying the Policy Space: Tribal Policy Intern Celeste Lucero  USDA Rural Development Celebrates National Homeownership Month","What financing options are available through USDA's Single Family Housing Guaranteed Loan Program for lenders to help homebuyers in rural America finance homes, including manufactured homes?","Through USDA's Single Family Housing Guaranteed Loan Program, lenders can offer 100% loan guarantees on new manufactured homes with no money down required, as well as financing options for land costs, closing costs, site development, installation and setup costs."
"From West Virginia to Ohio, Food Fuels the Local Economy  West Virginia and Appalachian Ohio have a lot in common beyond their shared state border.  With a strong agricultural heritage, these vast rural areas are known for their forest and timber industries, and they are integrating food systems into local economic development. Earlier this month, I joined Appalachian Regional Commission (ARC) Co-Chair Earl Gohl and Ohio’s State Rural Development Director Tony Logan to take a look at local food in the Buckeye state. My colleague, Deputy Under Secretary for Marketing and Regulatory Programs Joani Walsh, recently made a similar trip to West Virginia. Organized by ARC, the visits were an opportunity to discuss how local food is diversifying the economy, developing a more competitive workforce and generating opportunities within regions like Appalachia. “Through our work on the Know Your Farmer, Know Your Food Initiative, we know that there are lots of ways  that local foods are providing economic opportunities in rural communities,” said Walsh. “These  visits with ARC gave us a clearer picture of how that is happening in Appalachia.”  Doug O’Brien, Acting Under Secretary for Rural Development  Posted in  USDA Results  Food and Nutrition  Farming  Rural  Technology  Jun 17,   Respond to this story","How are local food systems being integrated into economic development in West Virginia and Appalachian Ohio, and what opportunities are they creating for rural communities?","Local food systems are being integrated into economic development in West Virginia and Appalachian Ohio by diversifying the economy, developing a more competitive workforce, and generating new opportunities within these regions. This integration is creating opportunities for rural communities to develop economically through initiatives such as the Know Your Farmer, Know Your Food Initiative."
"Remembering USDA's Own  Fifteen years ago, USDA and all of America experienced a tragedy that shook us to the core and united us in ways that brought out the best in our country.  At 9:andard Time on April 19, , a bomb exploded in the A.P. Murrah Federal Building in Oklahoma City, Oklahoma, killing 168 innocent people.  Ninety-eight victims were Federal employees. Seven of those were members of the USDA family.  In honor of these seven victims, the Riverdale, MD, conference center was renamed “The Oklahoma City Memorial Conference Center” and a portrait titled “Heroes of America’s Harvest” has been permanently displayed outside the center since .  USDA  Posted in  Initiatives  Apr 19,   1 Response","What event occurred on April 19, 1995, that killed 168 innocent people and resulted in seven Federal employees from the USDA being among the victims?","A bomb exploded at the A.P. Murrah Federal Building in Oklahoma City, killing 168 people, including 7 members of the USDA family."
"Southwestern Willow Flycatcher, Other Species Benefit from Riparian Restoration Work in Utah  Jim Hook, owner of the Recapture Lodge and volunteer firefighter in Bluff, Utah, has been working for years to manage and restore the riparian habitat on his property along the San Juan River in southeast Utah. Where the Cottonwood Creek and the San Juan River meet, Hook is working with USDA’s Natural Resources Conservation Service (NRCS) to establish healthy riparian habitat. His hard work over the years has begun to yield results as the invasive plants have begun to die and native plants are taking their place. An endangered bird species, the Southwestern willow flycatcher, is one of the species that will benefit from his restoration work.  Casey Burns and Ron Francis, Natural Resources Conservation Service, Utah  Posted in  Conservation  Apr 28,   Respond to this story",What specific conservation outcomes have been observed for the Southwestern Willow Flycatcher following riparian restoration efforts on private land along the San Juan River in southeast Utah?,The invasive plants have died out and native plants have taken their place.
"Pennsylvania Landowners Helping Indiana Bat through 'Spooky' Declines  When most people think of bats, images of dark caves, vampires and Halloween come to mind. But actually, bats get a bad rap, and we often don’t know how important they are for controlling insects, pollinating plants, dispersing seeds and improving biodiversity. Many of our nation’s bats are facing population declines to near-extinction levels, primarily because of disease and loss of habitat. One of those species is the Indiana bat, an endangered species that has experienced rapid declines since the s.  Molly Hippensteel, Natural Resources Conservation Service, Pennsylvania  Posted in  Conservation  Forestry  Oct 26,   5 Responses",What impact would the decline of Indiana bats have on plant dispersal and pollination in ecosystems?,The decline of Indiana bats would likely lead to a decrease in plant dispersal and pollination due to their important role in these processes.
"High Hopes For High Tunnels  Cross-posted from the Let's Move! Blog: Question: What are those giant clear caterpillar looking things in the White House garden? Answer: They are high tunnels and they are another step in increasing the ability of farmers and gardeners around the nation to grow and provide healthy nutritious fruits and vegetables throughout the year.  Agriculture Deputy Secretary Kathleen Merrigan  Posted in  Food and Nutrition  Initiatives  Dec 06,   1 Response",What structures are being used in the White House garden to promote year-round growth of healthy and nutritious fruits and vegetables?,High tunnels.
"Food and Nutrition  Initiatives  May 11,    Blog by Dr. Lynn Harvey, Ed.D., RD, LDN, FADA Section Chief, Child Nutrition Services, Division of School Support, NC Department of Public Instruction  It was a proud day in North Carolina as Thomasville Primary School earned the HealthierUS School Challenge Gold Award.  Officials from the Food and Nutrition Service of the U.S. Department of Agriculture were in Thomasville, N.C., to present the award.  Child Nutrition Personnel were joined by the Mayor, members of the City Council, County Commission, and Board of Education, the Superintendent, Principal, Teachers, Parents...and of course, the VIPs of the day...the STUDENTS!  Thomasville Primary School was the ""jewel"" in the state education crown having earned top recognition for their efforts to educate the ""whole child."" As part of the celebration, students demonstrated what they do all year, to not only achieve the Healthier US School Challenge nutrition standards, but also the physical side... they planted seeds in the school garden as they got instruction from a local farmer; they honed their match skills by spending money (school-issued currency) to purchase fresh fruits and vegetables at their produce stand; they played Food Pyramid Scramble (yes, running and squatting was involved....just ask USDA Food and Nutrition Branch Chief, Jane Mandel, and Southeast Regional Administrator Donald Arnette who ran the race in business clothes!)  When guests arrived for the awards celebration, they were greeted by the school’s Child Nutrition Personnel wearing bright yellow T-shirts that said ""Let's Move"". “The reason we picked this slogan,” said Brenda Watford, Thomasville County Schools Nutrition Director, “was to let First Lady Michelle Obama know that we are behind her ‘Let’s Move’ program. We want to help stop the obesity epidemic. We send newsletters home about the nutrition that children need and fact sheets about our fresh fruits and fresh vegetables that we serve as part of our USDA Fresh Fruits and Vegetables Program.”  What I observed on this day was nothing short of a complete transformation in the school cafeteria. I saw a generation of ""lunch ladies"" transform into a new generation of ""Let's Move Ladies."" So at the end of the celebration...we respectfully said ""Good Bye Lunch Ladies....Hello ""Let's Move Ladies!""  Thomasville Primary School’s Let’s Move and Nutrition Staff and other local, state and national VIPs were on hand to celebrate the school receiving a USDA HealthierUS School Challenge Gold Award in Thomasville, NC, (USDA Photo by Debbie Haston-Hilger)  Physical Education Teacher Mandy Davis runs with a Thomasville Primary School student in the “strawberry in a spoon race” as part of their Let’s Move program inspired by First Lady Michelle Obama. The school received a USDA HealthierUS School Challenge Gold Award. (USDA photo by Debbie Haston-Hilger)  Child Nutrition Assistants Shirley Ryals and Carrie Crump serve nutritious foods to Thomasville Primary School students during the lunch meal showcasing why their school won a USDA HealthierUS School Challenge Gold Award (USDA photo by Debbie Haston-Hilger)   Category/Topic:  Food and Nutrition  Initiatives  Tags:  First Lady  FNS  Food Nutrition  Healthier School  Healthier US School Challenge  Let's Move  Michelle Obama  North Carolina  Nutrition  Obesity  Thomasville  Thomasville Primary School","What key initiative or program did Thomasville Primary School implement, inspired by First Lady Michelle Obama, in order to earn the HealthierUS School Challenge Gold Award?","The key initiative or program that Thomasville Primary School implemented, inspired by First Lady Michelle Obama, was their ""Let's Move"" program. This program focused on educating students about healthy nutrition and promoting physical activity, ultimately leading to their achievement of the HealthierUS School Challenge Gold Award."
"Are Frogs on the Edge of Survival?  A lethal fungus is killing frogs and other water-dwelling amphibians all over the world, but a team of international scientists led by U.S. Forest Service scientist Deanna Olson is working to understand why. Olson, who works at the agency’s Pacific Northwest Research Station, and her colleagues have the daunting task of tracking the disease, known as the amphibian chytrid fungus. Unlike the clearly visible white-nose syndrome killing bats in the U.S., the frog fungus cannot be seen except with a microscope. That makes scientists’ jobs that much more difficult. Since the discovery of the malady is so recent, scientists still don’t understand a great deal about the fungus except that it affects the skin and ultimately leads to cardiac arrest in amphibians.  Robert Westover, Office of Communication, U.S. Forest Service  Posted in  Forestry  Sep 18,   5 Responses",What is the main challenge facing scientists trying to understand and combat the amphibian chytrid fungus that's killing water-dwelling amphibians worldwide?,"The main challenge facing scientists is that the frog fungus cannot be seen except with a microscope, making their job more difficult."
"International Year of Statistics: The Uses and Impacts of Agricultural Statistics  This post is part of the Science Tuesday feature series on the USDA blog. Check back each week as we showcase stories and news from USDA's rich science and research profile.  is the International Year of Statistics. As part of this global event, every month this year USDA’s National Agricultural Statistics Service will profile careers of individuals who are making significant contributions to improve agricultural statistics in the United States. While it may not be broadly known, agricultural statistics are at the center of many aspects of our lives—feeding the world, ensuring a safe food supply, providing water for societal needs, promoting health and nutrition, caring for our environment, responding to climate change, and maintaining an adequate supply of energy. Statistics provide a solid base for decision-making on all of these issues and the International Year of Statistics in celebrates the role plays in our everyday lives.  Dr. Cynthia Clark, Administrator, National Agricultural Statistics Service, and Dr. Mary Bohman, Administrator, Economic Research Service  Posted in  Research and Science  Feb 26,   2 Responses","What global event is being celebrated by USDA's National Agricultural Statistics Service this year, highlighting the importance of agricultural statistics in decision-making processes?",The International Year of Statistics.
"Harvest Time: Celebrating Native American Heritage and Traditional Foods in FDPIR  Autumn is a time to reflect on all that we have to be thankful for, as we enjoy the harvest of nature’s bounty during gatherings with family and friends. In Indian Country, culture and tradition are sustained through shared meals with family and the community. Traditional foods are a powerful way for each new generation to connect with and honor its history and its ancestors, and participants in USDA’s Food Distribution Program on Indian Reservations (FDPIR) have access to more traditional foods than ever this year. November, Native American Heritage Month, is an especially fitting time to celebrate the addition to FDPIR of bison, blue cornmeal, wild rice, and wild salmon – foods that not only nourish a body but sustain a culture. In collaboration with the FDPIR community, USDA’s Agricultural Marketing Service and Food and Nutrition Service have been working to identify culturally relevant foods to procure and offer through FDPIR, a program that provides healthy food and nutrition education to an average of 92,500 income-eligible individuals living on or near reservations across the United States each month. The food package offers more than 100 domestically sourced, nutritious foods, including a variety of meat, poultry, fish, dairy, grains, and fruits and vegetables. In both fiscal year and , USDA received an additional allocation of $5 million dedicated to traditional and locally-grown foods. This fund, authorized under the Farm Bill and subject to the availability of appropriations, has allowed the exploration of new culinary opportunities for FDPIR.  Lindsay Williams, Food Distribution Division, USDA Food and Nutrition Service  Posted in  Conservation  Food and Nutrition  Nov 14,   Respond to this story",What specific foods added to the FDPIR program are culturally relevant to Native American heritage and are being sourced for their traditional importance in nourishing both body and culture?,The specific foods added to the FDPIR program that are culturally relevant to Native American heritage are: 1. Bison 2. Blue cornmeal 3. Wild rice 4. Wild salmon
